avg_salary_k,rating,size,job_location,age,python,visual_software,ML_software,spark,aws,excel,sql,sas,hadoop,degree,in_CA,senior_status
49.0,4.0,201 - 500 ,ID,37,1,1,0,0,0,1,1,0,0,Other,False,False
59.0,3.7,201 - 500 ,NJ,25,0,0,0,0,0,1,0,0,0,MS,False,False
88.5,3.5,201 - 500 ,IN,2,0,0,0,0,1,0,0,0,0,MS,False,False
114.5,4.7,201 - 500 ,NY,29,1,1,0,0,0,1,1,0,0,MS,False,False
88.0,4.4,1001 - 5000 ,TN,15,1,0,0,1,1,1,1,0,1,Other,False,False
100.0,4.1,501 - 1000 ,IL,20,1,0,0,1,1,0,1,0,1,Other,False,False
96.5,2.5,1001 - 5000 ,OR,22,1,0,0,1,0,0,1,0,0,Other,False,False
76.0,4.2,201 - 500 ,MN,29,1,0,0,0,0,1,1,0,0,Other,False,False
15.5,3.9,1001 - 5000 ,NY,55,0,0,0,0,0,1,0,0,0,Other,False,False
83.5,4.3,1 - 50 ,TX,11,1,0,0,0,0,1,1,0,0,Other,False,False
163.0,3.9,10000+ ,CA,45,0,0,0,0,0,1,1,1,0,MS,True,False
100.0,3.4,501 - 1000 ,RI,82,0,0,0,0,1,0,1,1,0,Other,False,True
52.5,3.8,1001 - 5000 ,NE,104,0,0,0,0,0,1,0,0,0,PHD,False,False
50.0,3.3,501 - 1000 ,DC,138,0,1,0,0,0,1,1,0,0,MS,False,False
93.0,3.4,201 - 500 ,TX,15,1,1,0,0,1,0,1,0,1,MS,False,False
94.5,3.0,1001 - 5000 ,OH,134,1,0,0,0,0,0,1,1,0,Other,False,False
102.0,3.7,1001 - 5000 ,NC,17,1,1,1,1,1,1,1,1,1,MS,False,False
108.0,3.9,51 - 200 ,CA,21,1,0,1,1,0,0,1,1,0,MS,True,False
63.5,4.2,501 - 1000 ,ID,17,0,0,0,0,0,1,1,0,0,Other,False,False
96.0,3.5,5001 - 10000 ,TN,171,1,0,1,0,0,0,0,0,0,MS,False,False
101.0,3.2,1001 - 5000 ,CA,13,1,1,0,0,1,1,1,0,0,Other,True,False
77.5,3.9,1001 - 5000 ,IA,73,0,0,0,0,0,1,1,0,1,Other,False,False
90.0,3.5,10000+ ,CA,24,1,1,1,0,0,1,1,0,0,Other,True,False
58.0,4.3,501 - 1000 ,NJ,119,0,0,0,0,1,0,1,0,0,Other,False,False
128.0,3.6,1001 - 5000 ,NY,277,1,0,0,0,0,0,0,0,0,Other,False,False
101.0,2.3,201 - 500 ,DC,18,1,1,0,0,0,1,1,0,0,MS,False,False
142.0,4.0,501 - 1000 ,VA,9,1,0,0,0,1,0,1,0,0,Other,False,True
169.0,4.1,1 - 50 ,CA,14,0,1,0,0,1,1,1,1,0,MS,True,True
52.5,4.2,51 - 200 ,CA,34,1,0,0,0,0,0,1,0,0,Other,True,False
75.5,4.6,501 - 1000 ,TX,39,0,1,0,1,0,0,1,0,1,Other,False,False
139.0,3.7,10000+ ,NY,158,1,0,0,0,0,1,1,0,0,MS,False,True
102.5,3.7,10000+ ,MA,240,1,1,0,1,1,1,1,0,1,Other,False,False
60.5,4.4,201 - 500 ,SC,92,0,0,0,0,0,0,0,0,0,Other,False,False
125.0,3.9,10000+ ,CA,45,0,0,0,0,0,1,0,0,0,PHD,True,False
81.0,3.6,5001 - 10000 ,MA,170,1,1,0,0,0,0,1,0,0,Other,False,True
77.0,3.4,10000+ ,DC,25,0,1,0,0,0,1,1,0,0,MS,False,False
92.0,4.1,5001 - 10000 ,VA,53,0,0,0,0,0,0,1,0,1,Other,False,False
121.0,3.8,10000+ ,MA,25,0,0,0,0,0,0,0,0,0,Other,False,True
162.5,4.0,5001 - 10000 ,CA,39,1,0,0,1,0,1,1,0,0,Other,True,True
60.0,3.9,1001 - 5000 ,TX,74,0,0,0,0,0,0,0,0,0,Other,False,False
90.5,4.4,1 - 50 ,IN,6,1,0,0,1,0,0,0,0,1,Other,False,False
110.0,2.2,501 - 1000 ,TX,28,0,1,0,0,0,0,0,0,0,MS,False,True
70.5,4.1,5001 - 10000 ,VA,53,0,0,0,0,0,0,0,0,0,Other,False,False
76.5,3.8,1001 - 5000 ,WA,56,1,0,0,0,0,0,0,0,0,PHD,False,False
92.0,3.6,5001 - 10000 ,MA,170,1,0,0,1,0,1,0,0,0,Other,False,False
82.0,3.5,1001 - 5000 ,VA,52,1,0,0,0,0,0,1,0,0,MS,False,False
164.5,3.3,201 - 500 ,CA,13,0,0,0,0,0,0,0,0,0,Other,True,False
44.0,3.4,201 - 500 ,FL,30,0,0,0,0,0,0,0,0,0,MS,False,False
109.0,4.4,1 - 50 ,VA,6,1,0,0,1,0,0,0,0,1,Other,False,False
149.5,3.8,501 - 1000 ,TX,11,0,0,0,1,1,0,0,0,0,MS,False,False
